article_title,revision_id,country,article_quality,population,region
Ririkumutima,1233102698.0,Burundi,Start,13.2,EASTERN AFRICA
Agathon Rwasa,1227287425.0,Burundi,Start,13.2,EASTERN AFRICA
Imelde Sabushimike,1243757340.0,Burundi,Start,13.2,EASTERN AFRICA
Alexis Sinduhije,1227751790.0,Burundi,GA,13.2,EASTERN AFRICA
Ang Vong Vathana,1242000913.0,Cambodia,Stub,17.0,SOUTHEAST ASIA
Samheng Boros,1217047991.0,Cambodia,Start,17.0,SOUTHEAST ASIA
Bun Chanmol,1229174400.0,Cambodia,C,17.0,SOUTHEAST ASIA
Chem Snguon,1243810904.0,Cambodia,Stub,17.0,SOUTHEAST ASIA
Chhan Sokhom,1243810911.0,Cambodia,Stub,17.0,SOUTHEAST ASIA
Chuon Saodi,1243810923.0,Cambodia,Stub,17.0,SOUTHEAST ASIA
Duong Sam Ol,1250510333.0,Cambodia,Stub,17.0,SOUTHEAST ASIA
Ieu Koeus,1234647985.0,Cambodia,Start,17.0,SOUTHEAST ASIA
Ith Samheng,1246668602.0,Cambodia,Start,17.0,SOUTHEAST ASIA
Khem Veasna,1210437333.0,Cambodia,C,17.0,SOUTHEAST ASIA
Kou Roun,1243810993.0,Cambodia,Stub,17.0,SOUTHEAST ASIA
Daran Kravanh,1096672232.0,Cambodia,Stub,17.0,SOUTHEAST ASIA
Lon Nil,1220226778.0,Cambodia,Start,17.0,SOUTHEAST ASIA
Mao Ayuth,1171497670.0,Cambodia,C,17.0,SOUTHEAST ASIA
Neav Sithong,1243811022.0,Cambodia,Stub,17.0,SOUTHEAST ASIA
Ngoun Chhay Kry,1243811027.0,Cambodia,Stub,17.0,SOUTHEAST ASIA
Norodom Norindeth,1220843919.0,Cambodia,Start,17.0,SOUTHEAST ASIA
Norodom Phurissara,1243811051.0,Cambodia,Start,17.0,SOUTHEAST ASIA
Oung Ouen,1079121769.0,Cambodia,Stub,17.0,SOUTHEAST ASIA
Phlek Chhat,1244202380.0,Cambodia,Stub,17.0,SOUTHEAST ASIA
Ponn Vongs Vaddey,1243811080.0,Cambodia,Stub,17.0,SOUTHEAST ASIA
Samheng Bora,1194560189.0,Cambodia,Start,17.0,SOUTHEAST ASIA
Say Phouthang,1174776111.0,Cambodia,C,17.0,SOUTHEAST ASIA
Sisowath Youtevong,1221932398.0,Cambodia,Start,17.0,SOUTHEAST ASIA
So Nem,1243811102.0,Cambodia,Stub,17.0,SOUTHEAST ASIA
Tep Hun,1243811136.0,Cambodia,Stub,17.0,SOUTHEAST ASIA
Tep Phan,1059565834.0,Cambodia,Stub,17.0,SOUTHEAST ASIA
Tep Vattho,1243808497.0,Cambodia,Start,17.0,SOUTHEAST ASIA
Thiounn,1178861440.0,Cambodia,GA,17.0,SOUTHEAST ASIA
Touch Kim,1243811146.0,Cambodia,Stub,17.0,SOUTHEAST ASIA
Truong Cang,1157572449.0,Cambodia,Start,17.0,SOUTHEAST ASIA
Tuot Saron,1171902721.0,Cambodia,Start,17.0,SOUTHEAST ASIA
Uch Ven,1178094497.0,Cambodia,Stub,17.0,SOUTHEAST ASIA
Uk Vithun,1243811158.0,Cambodia,Stub,17.0,SOUTHEAST ASIA
Ung Hong Sath,1250884183.0,Cambodia,Stub,17.0,SOUTHEAST ASIA
Veng Sakhon,1249720857.0,Cambodia,Stub,17.0,SOUTHEAST ASIA
Yat Hwaidi,1130454039.0,Cambodia,Stub,17.0,SOUTHEAST ASIA
Yat Hwaidi,1130454039.0,Thailand,Stub,66.0,SOUTHEAST ASIA
Akanat Promphan,1246144492.0,Thailand,Start,66.0,SOUTHEAST ASIA
Borwornsak Uwanno,1164622554.0,Thailand,C,66.0,SOUTHEAST ASIA
Bunsong Noisophon,1250305357.0,Thailand,Stub,66.0,SOUTHEAST ASIA
Chada Thaiseth,1248956827.0,Thailand,Stub,66.0,SOUTHEAST ASIA
Chaithawat Tulathon,1250055355.0,Thailand,GA,66.0,SOUTHEAST ASIA
Charoen Suepsaeng,1232708031.0,Thailand,Stub,66.0,SOUTHEAST ASIA
Chatchawal Kong-udom,1167987847.0,Thailand,Stub,66.0,SOUTHEAST ASIA
Chob Yodkaew,1067190492.0,Thailand,Stub,66.0,SOUTHEAST ASIA
Cholnan Srikaew,1235669240.0,Thailand,C,66.0,SOUTHEAST ASIA
Chonthicha Jaengraew,1225928531.0,Thailand,C,66.0,SOUTHEAST ASIA
Chuwit Chitsakul,1067190867.0,Thailand,Start,66.0,SOUTHEAST ASIA
Hangthong Thammawattana,1233611324.0,Thailand,C,66.0,SOUTHEAST ASIA
Kasidej Chutimant,1223927680.0,Thailand,C,66.0,SOUTHEAST ASIA
Khrong Chandawong,1126977537.0,Thailand,C,66.0,SOUTHEAST ASIA
Kriangkrai Srirak,1250846650.0,Thailand,Stub,66.0,SOUTHEAST ASIA
Maris Sangiampongsa,1247198623.0,Thailand,Start,66.0,SOUTHEAST ASIA
Mongkol Surasajja,1250305183.0,Thailand,Stub,66.0,SOUTHEAST ASIA
Natthaphong Ruengpanyawut,1249112392.0,Thailand,GA,66.0,SOUTHEAST ASIA
Nukun Prachuapmo,1233734595.0,Thailand,Stub,66.0,SOUTHEAST ASIA
Padipat Suntiphada,1246289890.0,Thailand,C,66.0,SOUTHEAST ASIA
Pallop Pinmanee,1250846411.0,Thailand,C,66.0,SOUTHEAST ASIA
Phayom Chulanont,1244304302.0,Thailand,Start,66.0,SOUTHEAST ASIA
Pichit Chuenban,1245657061.0,Thailand,C,66.0,SOUTHEAST ASIA
Pita Limjaroenrat,1250883874.0,Thailand,FA,66.0,SOUTHEAST ASIA
Rangsiman Rome,1249147389.0,Thailand,Start,66.0,SOUTHEAST ASIA
Rukchanok Srinork,1239869578.0,Thailand,Start,66.0,SOUTHEAST ASIA
Samak Jalikula,1229939327.0,Thailand,Stub,66.0,SOUTHEAST ASIA
Sang Phathanothai,1246817296.0,Thailand,Start,66.0,SOUTHEAST ASIA
Sereepisuth Temeeyaves,1245656316.0,Thailand,C,66.0,SOUTHEAST ASIA
Singsuk Singpai,1250845346.0,Thailand,Stub,66.0,SOUTHEAST ASIA
So Sethaputra,1243909413.0,Thailand,GA,66.0,SOUTHEAST ASIA
Sodsai Rungphothong,1223116979.0,Thailand,Stub,66.0,SOUTHEAST ASIA
Sophon Suphapong,1056597902.0,Thailand,Stub,66.0,SOUTHEAST ASIA
Suchatvee Suwansawat,1175896229.0,Thailand,GA,66.0,SOUTHEAST ASIA
Surangkana Wayuparb,1248232277.0,Thailand,C,66.0,SOUTHEAST ASIA
Suriya Chindawongse,1249276735.0,Thailand,Start,66.0,SOUTHEAST ASIA
Sutin Klungsang,1250403525.0,Thailand,Start,66.0,SOUTHEAST ASIA
Teerakiat Jaroensettasin,1241986465.0,Thailand,Stub,66.0,SOUTHEAST ASIA
Thamanat Prompow,1245657040.0,Thailand,B,66.0,SOUTHEAST ASIA
Tiang Sirikhanth,1227006295.0,Thailand,Start,66.0,SOUTHEAST ASIA
Vichien Khaokham,1192271750.0,Thailand,Stub,66.0,SOUTHEAST ASIA
Luang Wichitwathakan,1250036285.0,Thailand,C,66.0,SOUTHEAST ASIA
Marie Catherine Abena,1241219287.0,Cameroon,Start,28.1,MIDDLE AFRICA
Haman Adama,1246435409.0,Cameroon,Stub,28.1,MIDDLE AFRICA
Vincent de Paul Ahanda,1249317685.0,Cameroon,Stub,28.1,MIDDLE AFRICA
Ahmadou Ahidjo,1250931149.0,Cameroon,FA,28.1,MIDDLE AFRICA
Joseph Beti Assomo,1229939964.0,Cameroon,Start,28.1,MIDDLE AFRICA
Charles Ateba Eyene,1234063279.0,Cameroon,Start,28.1,MIDDLE AFRICA
Olivier Bilé,1243540290.0,Cameroon,Stub,28.1,MIDDLE AFRICA
Dsamou Micheline,1223788177.0,Cameroon,Start,28.1,MIDDLE AFRICA
Lawrence Fonka Shang,1041211681.0,Cameroon,Stub,28.1,MIDDLE AFRICA
Victor Fotso,1102345166.0,Cameroon,Stub,28.1,MIDDLE AFRICA
Séraphin Magloire Fouda,1009662257.0,Cameroon,Stub,28.1,MIDDLE AFRICA
Lucy Gwanmesia,1221349803.0,Cameroon,Start,28.1,MIDDLE AFRICA
Njomgang Isaac,1108440685.0,Cameroon,Start,28.1,MIDDLE AFRICA
René Jam Afane,1231186334.0,Cameroon,Start,28.1,MIDDLE AFRICA
Augustine Ngom Jua,1249031959.0,Cameroon,Start,28.1,MIDDLE AFRICA
Paul Monyonge Kale,1214426931.0,Cameroon,Start,28.1,MIDDLE AFRICA
Enanga Kebbi,1219533774.0,Cameroon,Start,28.1,MIDDLE AFRICA
Pierre Kotouo,1177650482.0,Cameroon,Stub,28.1,MIDDLE AFRICA
Laurentine Mbede,1240148045.0,Cameroon,Start,28.1,MIDDLE AFRICA
Albert Mbida,1230583945.0,Cameroon,Stub,28.1,MIDDLE AFRICA
Ibrahim Mbombo Njoya,1226331859.0,Cameroon,Start,28.1,MIDDLE AFRICA
Clémentine Ananga Messina,1217696496.0,Cameroon,Start,28.1,MIDDLE AFRICA
Ousmane Mey,1017007525.0,Cameroon,Start,28.1,MIDDLE AFRICA
Victor Mukete,1250196607.0,Cameroon,Start,28.1,MIDDLE AFRICA
Bernard Muna,1108720863.0,Cameroon,Start,28.1,MIDDLE AFRICA
Jerôme Mvondo,1250160956.0,Cameroon,Stub,28.1,MIDDLE AFRICA
Anne Marthe Mvoto,1225861548.0,Cameroon,Start,28.1,MIDDLE AFRICA
Hermine Patricia Tomaïno Ndam Njoya,1240147077.0,Cameroon,C,28.1,MIDDLE AFRICA
Pierre Ngayewang,1177650598.0,Cameroon,Stub,28.1,MIDDLE AFRICA
John Ebong Ngole,1151361877.0,Cameroon,Stub,28.1,MIDDLE AFRICA
Xavier Ngoubeyou,1242530072.0,Cameroon,Stub,28.1,MIDDLE AFRICA
Victor Anomah Ngu,1152439979.0,Cameroon,Start,28.1,MIDDLE AFRICA
Julienne Niat,1227015746.0,Cameroon,Start,28.1,MIDDLE AFRICA
Dorothy L. Njeuma,1240137941.0,Cameroon,Start,28.1,MIDDLE AFRICA
Bernard Njonga,1098278415.0,Cameroon,Stub,28.1,MIDDLE AFRICA
Arouna N'Joya,1177650613.0,Cameroon,Stub,28.1,MIDDLE AFRICA
Edouard Nomo-Ongolo,1146536611.0,Cameroon,Stub,28.1,MIDDLE AFRICA
Antoine Ntsimi,1180554993.0,Cameroon,C,28.1,MIDDLE AFRICA
André Ngongang Ouandji,1180554993.0,Cameroon,C,28.1,MIDDLE AFRICA
Paul Pondi,1242817206.0,Cameroon,C,28.1,MIDDLE AFRICA
Félix Sabal Lecco (politician),1148553193.0,Cameroon,C,28.1,MIDDLE AFRICA
François Sengat-Kuo,1199699881.0,Cameroon,Stub,28.1,MIDDLE AFRICA
Madeleine Tchuente,1225866384.0,Cameroon,Start,28.1,MIDDLE AFRICA
Félix Tonye Mbog,1226983598.0,Cameroon,Start,28.1,MIDDLE AFRICA
Kah Walla,1239668367.0,Cameroon,GA,28.1,MIDDLE AFRICA
Zakiatou Djamo,1235834775.0,Cameroon,Stub,28.1,MIDDLE AFRICA
José Manuel Gomes Andrade,1216083405.0,Cape Verde,Stub,0.6,WESTERN AFRICA
Honório Barreto,1249443443.0,Cape Verde,Start,0.6,WESTERN AFRICA
Pedro Fernandes Lopes,1191590141.0,Cape Verde,C,0.6,WESTERN AFRICA
Januaria Moreira,1225864918.0,Cape Verde,Start,0.6,WESTERN AFRICA
Paulo Rocha (Cape Verde politician),1177459663.0,Cape Verde,Stub,0.6,WESTERN AFRICA
Gilberto Correia Carvalho Silva,1101613548.0,Cape Verde,Stub,0.6,WESTERN AFRICA
Luís Filipe Tavares,1213485215.0,Cape Verde,Start,0.6,WESTERN AFRICA
Carlos de Vasconcelos,1216635216.0,Cape Verde,Start,0.6,WESTERN AFRICA
Abraão Vicente,1213485569.0,Cape Verde,Start,0.6,WESTERN AFRICA
Jean-Bédel Bokassa,1248397829.0,Central African Republic,FA,6.2,MIDDLE AFRICA
Antoine Darlan,1217196175.0,Central African Republic,C,6.2,MIDDLE AFRICA
Georges Darlan,1211998269.0,Central African Republic,C,6.2,MIDDLE AFRICA
Catherine Denguiadé,1242454262.0,Central African Republic,Start,6.2,MIDDLE AFRICA
Henri-Marie Dondra,1221994311.0,Central African Republic,Stub,6.2,MIDDLE AFRICA
Saif Durbar,1240973609.0,Central African Republic,C,6.2,MIDDLE AFRICA
Gaston N'Guérékata,1239810898.0,Central African Republic,C,6.2,MIDDLE AFRICA
Jean-Benoît Gonda,1159473113.0,Central African Republic,Stub,6.2,MIDDLE AFRICA
Hassan Al Habib,1140307699.0,Central African Republic,Stub,6.2,MIDDLE AFRICA
Rodolphe Iddi Lala,1242127344.0,Central African Republic,C,6.2,MIDDLE AFRICA
Désiré Kolingba,1226461295.0,Central African Republic,Stub,6.2,MIDDLE AFRICA
Tchakpa M'brede,1246969392.0,Central African Republic,Start,6.2,MIDDLE AFRICA
Karim Meckassoua,1224144854.0,Central African Republic,Stub,6.2,MIDDLE AFRICA
Abakar Sabone,1236990005.0,Central African Republic,C,6.2,MIDDLE AFRICA
Levy Yakete,1229277170.0,Central African Republic,Stub,6.2,MIDDLE AFRICA
Achta Ahmat Bremé,1243871975.0,Chad,Stub,18.3,MIDDLE AFRICA
Kamougue Assoum,1195939436.0,Chad,Stub,18.3,MIDDLE AFRICA
Christian Georges Diguimbaye,1227146224.0,Chad,Stub,18.3,MIDDLE AFRICA
Firmin Djidingar,1191501257.0,Chad,Stub,18.3,MIDDLE AFRICA
Roger Djikisna,1175430342.0,Chad,Stub,18.3,MIDDLE AFRICA
Issa Doubragne,1236321102.0,Chad,Start,18.3,MIDDLE AFRICA
Moussa Faki,1247480258.0,Chad,C,18.3,MIDDLE AFRICA
Arabi El Goni,1185921742.0,Chad,Stub,18.3,MIDDLE AFRICA
Isabelle Kassire,1246170190.0,Chad,Stub,18.3,MIDDLE AFRICA
Oueddei Kichidemi,1162338564.0,Chad,Start,18.3,MIDDLE AFRICA
Alphonse Kotiga,1108077983.0,Chad,Stub,18.3,MIDDLE AFRICA
Baba Laddé,1207731827.0,Chad,C,18.3,MIDDLE AFRICA
Nadji Madou,872461806.0,Chad,Stub,18.3,MIDDLE AFRICA
Mahmoud Ali Seid,1231975933.0,Chad,Start,18.3,MIDDLE AFRICA
Mariam Mahamat Nour,1179344861.0,Chad,Stub,18.3,MIDDLE AFRICA
Laoukein Kourayo Médard,872513852.0,Chad,Stub,18.3,MIDDLE AFRICA
Abbo Nassour,1144389013.0,Chad,C,18.3,MIDDLE AFRICA
Tahir Hamid Nguilin,1085015143.0,Chad,Stub,18.3,MIDDLE AFRICA
Quatre Sou Quatre,1193126229.0,Chad,Stub,18.3,MIDDLE AFRICA
François Tombalbaye,1250337903.0,Chad,C,18.3,MIDDLE AFRICA
Saadie Goukouni Weddeye,1235451008.0,Chad,Start,18.3,MIDDLE AFRICA
Alejandro Serani Burgos,1232887754.0,Chile,C,20.0,SOUTH AMERICA
Beltrán Mathieu,1240166319.0,Chile,B,20.0,SOUTH AMERICA
Alexandra Benado,1247622508.0,Chile,Start,20.0,SOUTH AMERICA
Rolando Calderón,1241145448.0,Chile,Stub,20.0,SOUTH AMERICA
Eugenio Cantuarias,1246582918.0,Chile,Stub,20.0,SOUTH AMERICA
Carlos Balmaceda Saavedra,1246583396.0,Chile,Start,20.0,SOUTH AMERICA
Jorge Cauas,1216583569.0,Chile,Stub,20.0,SOUTH AMERICA
Alberto Cooper,1246582150.0,Chile,Stub,20.0,SOUTH AMERICA
Fernando Cordero Rusque,1246582796.0,Chile,Stub,20.0,SOUTH AMERICA
Juan de Dios Correa de Saa,1246583602.0,Chile,Stub,20.0,SOUTH AMERICA
María Silvia Correa Marín,1233099485.0,Chile,Start,20.0,SOUTH AMERICA
Álvaro Covarrubias,1246583605.0,Chile,Start,20.0,SOUTH AMERICA
Pedro Nolasco Cruz Vergara,1236685196.0,Chile,C,20.0,SOUTH AMERICA
Jose Fernandez Dubrock,1209556113.0,Chile,Stub,20.0,SOUTH AMERICA
Juan Egaña,1246583619.0,Chile,Stub,20.0,SOUTH AMERICA
Sergio Fernández Fernández,1246582974.0,Chile,Stub,20.0,SOUTH AMERICA
Ángel Flisfisch,1238013543.0,Chile,Start,20.0,SOUTH AMERICA
Jaime Gazmuri,1220158605.0,Chile,C,20.0,SOUTH AMERICA
Carlos González Márquez,1241138604.0,Chile,Stub,20.0,SOUTH AMERICA
"David Henríquez (footballer, born 1977)",1241826912.0,Chile,Start,20.0,SOUTH AMERICA
Alejandra Bravo Hidalgo,1210732533.0,Chile,C,20.0,SOUTH AMERICA
Checho Hirane,1232905225.0,Chile,Stub,20.0,SOUTH AMERICA
Ricardo Hormazábal,1241145426.0,Chile,Stub,20.0,SOUTH AMERICA
Aucán Huilcamán,1216869009.0,Chile,Stub,20.0,SOUTH AMERICA
Liliana Jadue,1218197818.0,Chile,Start,20.0,SOUTH AMERICA
Andrés Jouannet,1232904571.0,Chile,Start,20.0,SOUTH AMERICA
Antonio Leal Labrín,1240072329.0,Chile,Stub,20.0,SOUTH AMERICA
Graciela Mandujano,1246581836.0,Chile,Start,20.0,SOUTH AMERICA
Daniel Manouchehri,1225804893.0,Chile,Start,20.0,SOUTH AMERICA
Rodrigo Mundaca,1234717906.0,Chile,Stub,20.0,SOUTH AMERICA
Sergio Ortega (composer),1224512179.0,Chile,C,20.0,SOUTH AMERICA
Manuel Ossa Ruiz,1197442605.0,Chile,Start,20.0,SOUTH AMERICA
Miguel Otero Lathrop,1246581884.0,Chile,Stub,20.0,SOUTH AMERICA
Sergio Páez Verdugo,1233100674.0,Chile,Stub,20.0,SOUTH AMERICA
Luis Palacios Rossini,1240166225.0,Chile,Stub,20.0,SOUTH AMERICA
Héctor Parra (footballer),1246581897.0,Chile,C,20.0,SOUTH AMERICA
Ignacio Pérez Walker,1246582371.0,Chile,Stub,20.0,SOUTH AMERICA
Bernhard Eunom Philippi,1237244682.0,Chile,Start,20.0,SOUTH AMERICA
Germán Picó Cañas,1233081384.0,Chile,Start,20.0,SOUTH AMERICA
Tancredo Pinochet,1246581910.0,Chile,Start,20.0,SOUTH AMERICA
Jaime Pizarro,1246276668.0,Chile,C,20.0,SOUTH AMERICA
Roberto Poblete,1246286451.0,Chile,Start,20.0,SOUTH AMERICA
Francisco Prat Alemparte,1246582387.0,Chile,Stub,20.0,SOUTH AMERICA
Pablo Prieto,1246582394.0,Chile,Stub,20.0,SOUTH AMERICA
Valentina Quiroga,1230256788.0,Chile,Start,20.0,SOUTH AMERICA
Patricio Rey Sommer,1226080617.0,Chile,Stub,20.0,SOUTH AMERICA
Claudio Reyes,1246584115.0,Chile,C,20.0,SOUTH AMERICA
Mario Ríos Santander,1246582411.0,Chile,Stub,20.0,SOUTH AMERICA
Jennifer Rojas,1245058533.0,Chile,Start,20.0,SOUTH AMERICA
Miguel Schweitzer Walters,1233099801.0,Chile,Start,20.0,SOUTH AMERICA
Loreto Silva,1235451028.0,Chile,Start,20.0,SOUTH AMERICA
Roberto Thieme,1247033778.0,Chile,Start,20.0,SOUTH AMERICA
Manuel Antonio Tocornal,1246583701.0,Chile,Stub,20.0,SOUTH AMERICA
Ramón Vega Hidalgo,1193587402.0,Chile,Stub,20.0,SOUTH AMERICA
Juan de Dios Vial del Río,1246583715.0,Chile,Stub,20.0,SOUTH AMERICA
Claudio Vicuña Subercaseaux,1240166459.0,Chile,B,20.0,SOUTH AMERICA
Hernán Vodanovic,1241138610.0,Chile,Stub,20.0,SOUTH AMERICA
Chris Watson,1245997885.0,Chile,FA,20.0,SOUTH AMERICA
Sergio Zarzar Andonie,1037723664.0,Chile,Start,20.0,SOUTH AMERICA
Cao Lihuai,1240382229.0,China,C,1411.3,EAST ASIA
Fu Wenhua,1240083184.0,China,Start,1411.3,EAST ASIA
Gu Shu,1222977958.0,China,Start,1411.3,EAST ASIA
Hang Yihong,1117001263.0,China,Stub,1411.3,EAST ASIA
Hao Hongjun,1182205038.0,China,C,1411.3,EAST ASIA
Hoi Lai Fong,1222254128.0,China,Stub,1411.3,EAST ASIA
Hu Fuming,1230177446.0,China,Stub,1411.3,EAST ASIA
Jiao Xiaoping,1250403358.0,China,Start,1411.3,EAST ASIA
Lin Shengzhong,1229515337.0,China,Start,1411.3,EAST ASIA
Lu Feng (politician),1183319623.0,China,Stub,1411.3,EAST ASIA
Shi Ping (politician),1247579845.0,China,Start,1411.3,EAST ASIA
Wang Liyan,1243521667.0,China,Start,1411.3,EAST ASIA
Wang Yonghong,1234882199.0,China,Start,1411.3,EAST ASIA
"Wang Wei (politician, born 1974)",1112864760.0,China,Stub,1411.3,EAST ASIA
Wei Wenhui,1213106474.0,China,Stub,1411.3,EAST ASIA
Zhang Lin (general),1243512125.0,China,Stub,1411.3,EAST ASIA
José Manuel Restrepo Abondano,1240223372.0,Colombia,Start,52.2,SOUTH AMERICA
Yahir Acuña,1245229750.0,Colombia,Stub,52.2,SOUTH AMERICA
Iván Darío Agudelo,1245229754.0,Colombia,Start,52.2,SOUTH AMERICA
Carlos Mario Álvarez,1245234693.0,Colombia,Stub,52.2,SOUTH AMERICA
Rafael Francisco Amador Campos,1246254621.0,Colombia,Stub,52.2,SOUTH AMERICA
Julio Arboleda Pombo,1245236501.0,Colombia,Start,52.2,SOUTH AMERICA
Justo Arosemena Quesada,1215952443.0,Colombia,Start,52.2,SOUTH AMERICA
Germán Blanco Álvarez,1245229792.0,Colombia,Start,52.2,SOUTH AMERICA
Manuel José Bonnet,1145659050.0,Colombia,Start,52.2,SOUTH AMERICA
Wilson Borja,1245233085.0,Colombia,Stub,52.2,SOUTH AMERICA
Gloria María Borrero,1245229806.0,Colombia,Stub,52.2,SOUTH AMERICA
Carlos Fernando Galán,1245229831.0,Colombia,C,52.2,SOUTH AMERICA
José Eusebio Caro,1216025693.0,Colombia,Stub,52.2,SOUTH AMERICA
Ana María Castañeda,1246254674.0,Colombia,Start,52.2,SOUTH AMERICA
Iván Cepeda,1245233092.0,Colombia,Start,52.2,SOUTH AMERICA
Juan José Chaux Mosquera,1245229841.0,Colombia,Start,52.2,SOUTH AMERICA
Vicky Colbert,1246254698.0,Colombia,C,52.2,SOUTH AMERICA
Alejandro Corrales Escobar,1177713760.0,Colombia,Stub,52.2,SOUTH AMERICA
Alfredo Cuello Baute,1245229857.0,Colombia,Start,52.2,SOUTH AMERICA
Alfonso Dávila Ortiz,1170558228.0,Colombia,C,52.2,SOUTH AMERICA
Luis Eduardo Díaz Granados,1245235873.0,Colombia,Stub,52.2,SOUTH AMERICA
Olga Duque de Ospina,1245229862.0,Colombia,Stub,52.2,SOUTH AMERICA
Eduardo Wiesner Durán,1245236200.0,Colombia,Start,52.2,SOUTH AMERICA
Eduardo Enríquez Maya,1245233259.0,Colombia,Stub,52.2,SOUTH AMERICA
Miguel Amín Escaf,1230172715.0,Colombia,Stub,52.2,SOUTH AMERICA
Juan Carlos Esguerra Portocarrero,1246255193.0,Colombia,Stub,52.2,SOUTH AMERICA
Claudio Galán Pachón,1245229882.0,Colombia,Stub,52.2,SOUTH AMERICA
Juan García del Río,1240176611.0,Colombia,Stub,52.2,SOUTH AMERICA
Daniel García-Peña,1245233082.0,Colombia,Start,52.2,SOUTH AMERICA
Lucy Inés García,1245229888.0,Colombia,Stub,52.2,SOUTH AMERICA
Yaneth Giha Tovar,1245236372.0,Colombia,Stub,52.2,SOUTH AMERICA
Enrique Gil Botero,1245233277.0,Colombia,GA,52.2,SOUTH AMERICA
Guillermo González (politician),1245234381.0,Colombia,Stub,52.2,SOUTH AMERICA
Bernardo Guerra Serna,1250271191.0,Colombia,Stub,52.2,SOUTH AMERICA
Carlos Mauro Hoyos,1248682870.0,Colombia,C,52.2,SOUTH AMERICA
Augusto Ibáñez Guzmán,1184527110.0,Colombia,Start,52.2,SOUTH AMERICA
Gilma Jiménez,1069225684.0,Colombia,Stub,52.2,SOUTH AMERICA
Roberto Junguito,1240223425.0,Colombia,Stub,52.2,SOUTH AMERICA
Maria Claudia Lacouture,1199118382.0,Colombia,Start,52.2,SOUTH AMERICA
Rodrigo Lara,1250547066.0,Colombia,C,52.2,SOUTH AMERICA
Rodrigo Hernán Lloreda Caicedo,1246254780.0,Colombia,Start,52.2,SOUTH AMERICA
Francisco José Lloreda Mera,1246254788.0,Colombia,C,52.2,SOUTH AMERICA
Fernando Londoño,1246255201.0,Colombia,Start,52.2,SOUTH AMERICA
Jorge Eduardo Londoño,1245235971.0,Colombia,Stub,52.2,SOUTH AMERICA
"Jorge Miguel Lozano, Marquis of San Jorge",1236266474.0,Colombia,Start,52.2,SOUTH AMERICA
David Luna Sánchez,1222201469.0,Colombia,Stub,52.2,SOUTH AMERICA
Mariano Arosemena,1245235175.0,Colombia,Stub,52.2,SOUTH AMERICA
Iván Marulanda,1185742882.0,Colombia,Start,52.2,SOUTH AMERICA
Carlos Eduardo Medellín Becerra,1245235975.0,Colombia,C,52.2,SOUTH AMERICA
Germán Montoya Vélez,1028093034.0,Colombia,Stub,52.2,SOUTH AMERICA
Lorenzo Muelas,1164689541.0,Colombia,Start,52.2,SOUTH AMERICA
Narciso Matus Torres,1245236941.0,Colombia,Stub,52.2,SOUTH AMERICA
Elsa Noguera,1246254840.0,Colombia,Stub,52.2,SOUTH AMERICA
Antonio Ordóñez Plaja,1173626216.0,Colombia,Stub,52.2,SOUTH AMERICA
Fernando Ospina Hernández,1245233340.0,Colombia,Stub,52.2,SOUTH AMERICA
Enrique Parejo González,1245235981.0,Colombia,Stub,52.2,SOUTH AMERICA
Carlos Pizarro Leongómez,1249030421.0,Colombia,C,52.2,SOUTH AMERICA
Daniel Quintero,1245235291.0,Colombia,C,52.2,SOUTH AMERICA
Juan Camilo Quintero,1015926064.0,Colombia,Stub,52.2,SOUTH AMERICA
Manuel María Ramírez Fortoul,1216456187.0,Colombia,Start,52.2,SOUTH AMERICA
Juan José Reyes-Patria Escobar,1227553742.0,Colombia,C,52.2,SOUTH AMERICA
Ricardo Cobo,1244437288.0,Colombia,Stub,52.2,SOUTH AMERICA
Jorge Enrique Robledo,1220326566.0,Colombia,Start,52.2,SOUTH AMERICA
Ángela Robledo,1246255224.0,Colombia,Start,52.2,SOUTH AMERICA
Antonio Roldán Betancur,1221854205.0,Colombia,Start,52.2,SOUTH AMERICA
Sixta Pontón de Santander,1247090171.0,Colombia,Stub,52.2,SOUTH AMERICA
Juana de J. Sarmiento,1245238707.0,Colombia,Start,52.2,SOUTH AMERICA
Oscar Terán (lawyer),1161329015.0,Colombia,Stub,52.2,SOUTH AMERICA
Ernesto Macías Tovar,1213699898.0,Colombia,Start,52.2,SOUTH AMERICA
Ciro Luis Urriola,1228551844.0,Colombia,Start,52.2,SOUTH AMERICA
Ramón Maximiliano Valdés,1161329073.0,Colombia,Stub,52.2,SOUTH AMERICA
Eduardo Valencia Ospina,1246254972.0,Colombia,Start,52.2,SOUTH AMERICA
Cristóbal de Vergara Azcárate,1245235067.0,Colombia,Start,52.2,SOUTH AMERICA
José María Vergara y Vergara,1245233403.0,Colombia,C,52.2,SOUTH AMERICA
Estanislao Vergara y Sanz de Santamaría,1245706441.0,Colombia,Stub,52.2,SOUTH AMERICA
Luis Villar Borda,1245234958.0,Colombia,Stub,52.2,SOUTH AMERICA
Luis Carlos Villegas Echeverri,1240167842.0,Colombia,Stub,52.2,SOUTH AMERICA
Roberto Camacho Weberberg,1245232426.0,Colombia,Start,52.2,SOUTH AMERICA
Mouzawar Abdallah,1245477212.0,Comoros,Start,0.9,EASTERN AFRICA
Moustadroine Abdou,1249127568.0,Comoros,Stub,0.9,EASTERN AFRICA
Ibrahim Aboubacar,1243241622.0,Comoros,Start,0.9,EASTERN AFRICA
